交易序号,交易时间,交易网点,操作员编号,客户id,客户名称,交易金额
a5af29f0-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:50:53,QLR,op1,cu1,张三,74000
a5af2ca2-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:13:47,CQR,op3,cu1,张三,20000
a5af2ec8-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:06:02,QLR,op6,cu3,王五,12000
a5af30c6-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:57:31,JHR,op6,cu1,张三,1000
a5af32ba-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:24:24,CQR,op3,cu3,王五,27000
a5af34ae-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:22:57,QLR,op6,cu3,王五,70000
a5af3706-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:21:20,CQR,op3,cu3,王五,3000
a5af390e-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:16:19,QLR,op2,cu1,张三,12000
a5af3b0c-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:00:48,QLR,op5,cu1,张三,68000
a5af3d14-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:17:08,QLR,op3,cu2,李四,79000
a5af3f12-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:34:59,JHR,op4,cu2,李四,17000
a5af411a-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:35:03,QLR,op5,cu3,王五,10000
a5af4322-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:53:49,JHR,op2,cu2,李四,23000
a5af4520-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:22:11,JHR,op5,cu3,王五,13000
a5af4732-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:11:43,JHR,op4,cu1,张三,45000
a5af493a-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:23:50,QLR,op6,cu2,李四,94000
a5af4b38-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:16:06,JHR,op3,cu1,张三,34000
a5af4d40-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:51:08,QLR,op6,cu3,王五,43000
a5af4f48-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:48:02,CQR,op3,cu2,李四,75000
a5af5146-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:58:13,CQR,op6,cu2,李四,2000
a5af5344-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:08:23,JHR,op3,cu3,王五,43000
a5af554c-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:24:55,CQR,op1,cu2,李四,43000
a5af574a-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:35:38,CQR,op4,cu3,王五,27000
a5af5952-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:43:27,CQR,op3,cu2,李四,25000
a5af5b8c-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:38:51,CQR,op4,cu2,李四,7000
a5af5e02-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:49:18,CQR,op3,cu3,王五,9000
