交易序号,交易时间,交易网点,操作员编号,客户id,客户名称,交易金额
a5a8418a-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:38:17,CQR,op3,cu3,王五,39000
a5a84432-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:19:43,QLR,op5,cu1,张三,99000
a5a8469e-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:38:07,CQR,op6,cu1,张三,11000
a5a848ce-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:59:07,JHR,op3,cu1,张三,9000
a5a84ad6-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:09:06,CQR,op4,cu1,张三,56000
a5a84ce8-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:44:46,JHR,op3,cu1,张三,42000
a5a84ef0-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:28:57,CQR,op6,cu1,张三,36000
a5a850f8-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:12:14,JHR,op1,cu3,王五,80000
a5a85558-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:33:23,JHR,op1,cu1,张三,69000
a5a85878-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:49:29,QLR,op1,cu3,王五,1000
a5a85ada-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:10:13,CQR,op4,cu3,王五,8000
a5a85d14-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:56:33,JHR,op2,cu2,李四,44000
a5a85f3a-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:45:31,QLR,op3,cu1,张三,29000
a5a86156-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:09:22,JHR,op6,cu1,张三,10000
a5a8635e-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:47:43,CQR,op2,cu1,张三,18000
a5a8657a-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:50:47,QLR,op1,cu1,张三,45000
a5a86782-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:09:52,QLR,op6,cu2,李四,22000
a5a86980-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:37:46,CQR,op3,cu1,张三,82000
a5a86b92-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:41:07,JHR,op6,cu2,李四,42000
a5a86d9a-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:36:48,JHR,op1,cu2,李四,42000
a5a871a0-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:57:27,CQR,op3,cu2,李四,69000
a5a875c4-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:47:34,JHR,op3,cu1,张三,62000
a5a878da-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:11:01,QLR,op3,cu3,王五,37000
a5a87cf4-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:56:21,JHR,op4,cu2,李四,13000
a5a88352-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:53:42,QLR,op1,cu2,李四,87000
a5a88726-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:00:50,CQR,op6,cu1,张三,84000
a5a88a00-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:58:41,JHR,op4,cu2,李四,19000
a5a88c30-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:40:30,JHR,op6,cu3,王五,51000
a5a88e2e-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:20:16,QLR,op2,cu3,王五,63000
a5a89022-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:46:01,QLR,op6,cu3,王五,71000
a5a89216-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:29:13,CQR,op6,cu2,李四,47000
a5a89478-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:03:51,JHR,op3,cu2,李四,84000
a5a89680-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:10:16,CQR,op1,cu1,张三,30000
a5a89874-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:01:19,QLR,op6,cu1,张三,4000
a5a89a5e-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:57:21,JHR,op1,cu2,李四,16000
a5a89c52-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:38:59,QLR,op1,cu3,王五,82000
a5a89e46-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:23:07,JHR,op6,cu3,王五,17000
a5a8a030-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:44:54,QLR,op3,cu2,李四,74000
a5a8a21a-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:56:06,JHR,op5,cu2,李四,23000
a5a8a404-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:36:58,CQR,op6,cu3,王五,1000
a5a8a5e4-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:01:39,QLR,op5,cu3,王五,24000
a5a8a7d8-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:30:00,QLR,op4,cu2,李四,20000
a5a8a9cc-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:42:16,QLR,op4,cu1,张三,55000
a5a8abb6-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:55:06,JHR,op1,cu3,王五,26000
a5a8ada0-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:12:40,QLR,op6,cu3,王五,77000
a5a8af80-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:14:29,QLR,op1,cu3,王五,2000
a5a8b16a-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:23:23,CQR,op2,cu1,张三,62000
a5a8b372-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:43:38,JHR,op5,cu1,张三,98000
a5a8b566-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:19:06,JHR,op5,cu3,王五,29000
a5a8b750-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:22:49,CQR,op3,cu1,张三,42000
a5a8bc8c-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:45:35,CQR,op4,cu2,李四,32000
a5a8bf48-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:20:01,CQR,op3,cu1,张三,21000
a5a8c16e-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:54:42,JHR,op3,cu2,李四,67000
a5a8c36c-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:00:09,CQR,op4,cu3,王五,58000
a5a8c560-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:41:49,CQR,op5,cu2,李四,21000
a5a8c740-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:01:44,QLR,op1,cu3,王五,90000
a5a8c920-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:08:23,CQR,op3,cu3,王五,18000
a5a8cce0-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:47:55,CQR,op4,cu1,张三,35000
a5a8d4d8-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:04:06,QLR,op2,cu1,张三,7000
a5a8d92e-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:52:30,JHR,op5,cu3,王五,59000
a5a8dbae-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:32:43,QLR,op5,cu3,王五,17000
a5a8ddde-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:59:18,CQR,op1,cu3,王五,57000
a5a8dffa-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:24:42,CQR,op5,cu3,王五,43000
a5a8e20c-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:22:17,CQR,op3,cu2,李四,20000
a5a8e414-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:04:49,QLR,op3,cu2,李四,11000
a5a8e61c-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:01:02,CQR,op5,cu1,张三,19000
a5a8e824-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:19:01,JHR,op6,cu3,王五,24000
a5a8ea2c-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:02:29,JHR,op6,cu3,王五,76000
a5a8ec34-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:53:06,JHR,op1,cu2,李四,65000
a5a8ee32-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:06:41,JHR,op4,cu1,张三,59000
a5a8f030-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:17:06,QLR,op4,cu2,李四,73000
a5a8f238-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:43:59,CQR,op5,cu1,张三,16000
a5a8f440-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:27:41,CQR,op5,cu3,王五,54000
a5a8f648-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:41:22,JHR,op5,cu3,王五,86000
a5a8f850-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:10:44,CQR,op5,cu1,张三,54000
a5a8faa8-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:13:45,JHR,op4,cu3,王五,51000
a5a8fc9c-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:31:28,QLR,op5,cu1,张三,61000
a5a8fea4-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:16:44,QLR,op1,cu1,张三,26000
a5a900a2-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:31:07,CQR,op5,cu1,张三,55000
a5a902a0-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:04:10,CQR,op2,cu2,李四,32000
a5a904e4-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:12:17,CQR,op2,cu3,王五,25000
a5a906ce-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:52:44,QLR,op3,cu2,李四,1000
a5a908ae-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:18:19,CQR,op1,cu3,王五,3000
a5a90a8e-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:11:27,QLR,op6,cu2,李四,32000
a5a90c6e-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:19:58,CQR,op1,cu3,王五,14000
a5a90e4e-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:21:35,QLR,op5,cu1,张三,83000
a5a9102e-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:49:55,CQR,op3,cu2,李四,7000
a5a91218-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:38:40,CQR,op5,cu2,李四,54000
a5a913f8-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:25:06,QLR,op6,cu3,王五,77000
a5a915d8-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:44:00,QLR,op1,cu1,张三,63000
a5a917b8-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:30:18,QLR,op4,cu2,李四,77000
a5a9198e-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:13:43,JHR,op4,cu1,张三,46000
a5a91b6e-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:14:27,JHR,op5,cu1,张三,70000
a5a91d4e-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:46:01,JHR,op4,cu3,王五,31000
a5a91f24-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:24:46,CQR,op2,cu2,李四,7000
