交易序号,交易时间,交易网点,操作员编号,客户id,客户名称,交易金额
a5e3eda2-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:49:32,QLR,op6,cu1,张三,61000
a5e3f0e0-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:25:19,JHR,op5,cu1,张三,67000
a5e3f342-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:34:58,JHR,op1,cu2,李四,40000
a5e3f572-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:17:30,QLR,op5,cu3,王五,50000
a5e3f78e-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:39:17,CQR,op2,cu2,李四,68000
a5e3f9a0-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:59:53,JHR,op6,cu2,李四,57000
a5e3fbb2-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:02:17,CQR,op4,cu3,王五,47000
a5e3fdc4-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:41:25,JHR,op4,cu3,王五,63000
a5e3ffcc-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:44:32,QLR,op1,cu2,李四,54000
a5e401de-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:59:14,CQR,op2,cu1,张三,38000
a5e403f0-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:14:50,JHR,op2,cu2,李四,86000
a5e409ea-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:54:23,JHR,op4,cu2,李四,70000
a5e410de-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:41:05,JHR,op2,cu3,王五,13000
a5e41778-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:48:01,CQR,op5,cu2,李四,84000
a5e419ee-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:17:00,QLR,op1,cu3,王五,19000
a5e41c14-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:24:14,CQR,op5,cu2,李四,37000
a5e41e1c-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:47:59,QLR,op3,cu1,张三,98000
a5e42024-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:05:13,JHR,op5,cu2,李四,86000
a5e4222c-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:20:12,QLR,op5,cu2,李四,72000
a5e4243e-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:21:49,JHR,op4,cu1,张三,46000
a5e4263c-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:24:08,QLR,op6,cu2,李四,22000
a5e4284e-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:46:46,QLR,op1,cu1,张三,53000
a5e42a4c-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:36:42,QLR,op2,cu2,李四,69000
a5e42f74-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:16:32,CQR,op4,cu3,王五,56000
a5e4341a-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:52:28,JHR,op5,cu3,王五,50000
a5e43852-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:12:00,QLR,op3,cu3,王五,34000
a5e43b5e-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:55:49,JHR,op2,cu2,李四,32000
a5e43d98-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:26:56,CQR,op1,cu3,王五,46000
a5e43fbe-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:46:07,JHR,op6,cu3,王五,15000
a5e441d0-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:26:11,JHR,op1,cu1,张三,90000
a5e443f6-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:02:38,JHR,op4,cu3,王五,99000
a5e44608-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:17:15,QLR,op2,cu3,王五,17000
a5e4481a-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:43:30,QLR,op4,cu3,王五,88000
a5e44a2c-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:23:22,JHR,op1,cu1,张三,74000
a5e44ef0-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:47:59,CQR,op4,cu3,王五,13000
a5e452ec-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:32:41,QLR,op3,cu2,李四,13000
a5e45576-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:22:41,JHR,op6,cu2,李四,78000
a5e457b0-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:00:01,JHR,op5,cu2,李四,27000
a5e459e0-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:08:12,QLR,op1,cu3,王五,56000
a5e45bfc-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:32:25,JHR,op3,cu1,张三,31000
a5e45e18-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:36:05,JHR,op1,cu2,李四,87000
a5e46034-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:08:22,JHR,op5,cu1,张三,5000
a5e46246-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:27:20,QLR,op1,cu1,张三,71000
a5e46458-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:06:51,JHR,op6,cu2,李四,54000
a5e46660-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:32:47,QLR,op6,cu1,张三,70000
a5e46886-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:00:50,CQR,op1,cu2,李四,1000
a5e46a98-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:32:53,CQR,op6,cu2,李四,79000
a5e46ca0-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:21:09,QLR,op5,cu3,王五,32000
a5e46fb6-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:03:08,QLR,op1,cu1,张三,13000
a5e472b8-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:22:15,JHR,op6,cu2,李四,37000
a5e474e8-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:53:56,JHR,op2,cu3,王五,27000
a5e4775e-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:50:41,QLR,op6,cu3,王五,31000
a5e47a7e-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:25:57,JHR,op2,cu3,王五,65000
a5e47ccc-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:11:30,QLR,op2,cu2,李四,7000
a5e47ede-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:44:41,CQR,op1,cu2,李四,30000
a5e48186-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:28:19,CQR,op6,cu1,张三,54000
a5e48488-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:42:05,CQR,op6,cu1,张三,96000
a5e486cc-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:20:22,JHR,op3,cu2,李四,36000
a5e488de-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:43:14,JHR,op2,cu1,张三,4000
a5e48b5e-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:26:08,JHR,op2,cu1,张三,2000
a5e48e42-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:12:55,CQR,op3,cu1,张三,70000
a5e491bc-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:28:16,CQR,op2,cu3,王五,77000
a5e49400-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:31:19,QLR,op1,cu3,王五,3000
